"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-04","0.0","28.6","32.3",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-05","3.0","27.6","31.7",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-06","20.8","26.4","28.0","25.2"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-07","13.2","26.2","27.7","25.0"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-08","2.3","26.8","30.4","25.1"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-09","0.0","28.3","32.1","24.8"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-10","0.0","29.1","33.4","25.3"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-11","0.0","29.5","33.8","26.2"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-12","0.0","29.9","34.0","26.4"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-13",,"24.4","31.2",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-14","0.0","23.9","26.0","21.9"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-15","0.0","24.4","29.4",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-16","0.0","26.7","31.7","21.0"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-17","0.0","27.4","31.2","22.8"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-18","0.0","27.9","31.5","25.5"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-19","0.0","26.1","29.9",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-20","40.9","25.2","28.3","22.5"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-21","0.8","28.3","32.4","24.2"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-22","1.5","29.3","33.7","25.5"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-23","0.0","29.3","33.8","25.9"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-24","0.0","29.1","33.3",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-25","0.5","27.9","31.4","25.5"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-26","7.4","27.5","30.9","25.6"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-27","7.1","27.9","32.5",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-28","22.9","28.6","31.7","24.0"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-29","0.0","27.6","31.5",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-09-30","0.0","26.6","31.2","22.7"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-10-01","0.0","26.6","31.8","21.7"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-10-02","0.0","27.1","31.9","22.2"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-10-03","0.0","27.1","31.7","24.3"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-10-04","51.8","26.1","29.0","23.2"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-10-05","2.8","24.9","27.0",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-10-06","6.1","24.4","26.2","23.3"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-10-07","0.0","25.8","30.4","22.9"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-10-08","0.0","26.2","29.8","23.4"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-10-09","0.0","27.5","32.0","23.3"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-10-10","0.3","26.4","29.5",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-10-11","0.0","26.8","31.7","23.2"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-10-12","0.0","27.3","31.6","23.6"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-10-13","0.0","27.6","31.7","24.1"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-10-14","0.0","27.8","32.0","24.4"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-10-15","0.0","27.4","31.8",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-10-16","0.0","27.3","30.5","23.7"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-10-17","0.0","24.7","27.7",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-10-18","0.0","26.1","30.4","22.7"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-10-19","0.0","27.2","31.7","22.6"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-10-20","0.0","27.5","32.4",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-10-21","34.3","27.2","32.3","22.6"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-10-22","0.0","26.7","30.5",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-10-23","0.0","27.1","32.0",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-10-24","0.0","25.8","32.0",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-10-25","0.0","26.7","31.6","22.7"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-10-26","0.0","27.1","30.9","23.5"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-10-27","0.0","26.3","32.2",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-10-28","29.0","23.5","25.4",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-10-29","34.5","24.8","28.0","22.0"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-10-30","0.0","25.9","29.8","22.5"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-10-31","0.0","23.7","28.5",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-11-01","0.0","22.4","27.5","18.4"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-11-02","0.0","23.6","27.7","18.2"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-11-03","0.0","25.2","29.0","21.5"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-11-04","15.5","23.7","26.8",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-11-05","0.0","24.4","27.0","21.2"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-11-06","1.3","24.8","27.5","22.5"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-11-07","0.0","26.2","30.4","22.8"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-11-08","0.0","27.2","32.0","24.0"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-11-09","0.0","27.9","32.2","24.3"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-11-10","0.0","28.0","33.5",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-11-11","7.4","20.0","21.2",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-11-12","0.0","22.3","26.0","19.1"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-11-13","0.0","21.7","24.2","20.1"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-11-14","0.0","24.4","26.8","20.5"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-11-15","2.0","25.8","29.5",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-11-16","0.0","24.8","28.9",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-11-17","0.0","22.1","26.5",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-11-18","0.0","23.1","27.1","18.2"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-11-19","0.0","23.8","26.5","21.0"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-11-20","0.0","25.7","29.6","22.2"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-11-21","0.0","26.5","30.7","22.9"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-11-22","0.0","28.1","32.5","24.4"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-11-23","0.0","24.0","30.2",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-11-24","0.0","19.3","19.9",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-11-25","0.5","20.6","21.7","18.0"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-11-26","6.1","18.6","22.3",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-11-27","18.0","17.2","18.5","14.9"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-11-28","19.1","17.7","18.5","15.6"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-11-29","3.0","18.8",,"17.3"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-11-30","0.0","20.4","21.7","18.5"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-12-01","1.5","20.9","25.4",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-12-02","4.8","16.8","17.9","14.8"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-12-03","1.3","17.6","18.7","16.4"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-12-04","0.0","17.6","18.8",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-12-05","2.3","18.3","21.0","15.7"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-12-06","0.0","19.2","23.6","15.5"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-12-07","0.0","18.4","20.2","16.0"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-12-08","0.0","18.6","19.5","16.5"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-12-09","0.0","19.9","21.5","18.1"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-12-10","0.0","22.6","26.7","19.1"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-12-11","0.0","18.8","20.8",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-12-12","0.0","17.1",,
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-12-13","0.0","19.6","21.7","16.9"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-12-14","0.0","21.9","26.0","18.2"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-12-15","0.0","23.8","28.5",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-12-16","0.0","23.8","29.1","19.8"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-12-17","0.0","24.4","29.8","20.2"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-12-18","0.0","19.8","22.6",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-12-19","0.0","17.4","18.6","15.9"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-12-20","0.0","17.6","18.5",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-12-21","0.0","22.1",,"17.0"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-12-22","0.0","17.0","18.3",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-12-23","0.0","15.9",,
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-12-24","0.0","15.6","19.5",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-12-25","0.0","17.4","20.6","12.9"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-12-26","0.0","16.9","17.8","15.6"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-12-27","0.8","17.5","19.0","15.5"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-12-28","0.3","17.4",,"15.5"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-12-29","0.3","17.4","20.4",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-12-30","0.0","13.8","16.0",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2012-12-31","0.0","13.3","14.5","11.8"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-01-01","0.0","14.3","15.8","12.5"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-01-02","0.0","14.8","16.2","13.7"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-01-03","4.6","13.2","14.8",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-01-04","0.0","10.8","11.9",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-01-05","1.0","10.1",,"9.1"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-01-06","1.8","11.4","13.0","9.1"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-01-07","0.5","11.4","12.5","10.0"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-01-08","1.0","11.6","12.3","10.6"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-01-09","0.5","13.2","15.4","11.0"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-01-10","0.0","13.7","16.0","12.4"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-01-11","0.0","12.4","13.2","12.0"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-01-12","1.5","12.7","15.1",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-01-13","0.0","14.0","17.4","9.4"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-01-14","0.0","14.6","16.3","11.9"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-01-15","0.8","14.9","15.3","13.8"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-01-16","1.0","16.5","18.0","14.5"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-01-17","10.9","15.5","16.8",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-01-18","1.0","14.4","15.6","13.6"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-01-19","0.0","15.6","18.0","12.7"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-01-20","0.0","17.7","20.3","14.4"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-01-21","0.0","19.9","22.9","16.8"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-01-22","0.0","20.2","23.5",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-01-23","0.0","19.9","23.7","17.6"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-01-24","0.0","19.3","21.8",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-01-25","0.5","17.2","19.2",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-01-26","0.3","15.8","16.5",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-01-27","2.8","17.6","20.8","14.9"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-01-28","0.0","16.9","18.8","15.5"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-01-29","0.5","17.7","19.0","15.2"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-01-30","0.0","20.4","23.5","17.6"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-01-31","0.0","21.4","24.0","19.6"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-02-01","0.0","22.2","26.6","19.2"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-02-02","0.0","21.6","24.3",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-02-03","0.0","22.7","26.7","17.7"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-02-04","6.4","21.2","23.3","20.1"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-02-05","0.0","23.6","27.4","20.0"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-02-06","0.0","24.3","27.9","21.9"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-02-07","0.0","24.5","28.5","22.3"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-02-08","0.5","21.2","26.3",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-02-09","4.1","14.2","15.2",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-02-10","0.0","14.9","16.5","12.2"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-02-11","1.3","16.3","17.5","14.3"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-02-12","3.0","16.5","18.0",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-02-13","0.0","16.7","17.6","14.2"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-02-14","0.0","18.8","21.7","16.4"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-02-15","3.0","17.4","19.0",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-02-16","0.0","18.3","20.4","14.4"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-02-17","0.0","20.5","25.2","16.6"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-02-18","0.5","22.9","26.4","19.2"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-02-19","2.3","20.9","23.2",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-02-20","2.0","15.1","16.0",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-02-21","2.5","15.1","15.7","13.8"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-02-22","3.0","15.9","17.4","13.7"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-02-23","0.0","19.2","23.0","15.5"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-02-24","0.0","19.6","23.0","16.9"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-02-25","0.0","21.1","23.4","18.3"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-02-26","0.0","23.1",,"19.8"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-02-27","0.0","23.5","26.8","21.6"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-02-28","0.0","24.9","28.0","22.0"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-03-01","0.0","25.3","29.5",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-03-02","1.8","21.8","27.5",
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-03-03","0.0","17.8","19.7","16.0"
"VMM00048825","HA DONG, VM","20.967","105.767","7.9","2013-03-04","0.0","17.8","20.0","16.7"
